date,-9,-7,-5,-3,-1,1,3,5,7,9,11
5/19/09,4300,176200,339250,233300,0,0,0,0,0,0,0
5/20/09,6000,168900,345150,239000,0,0,0,0,0,0,0
5/21/09,4100,169050,344400,245600,0,0,0,0,0,0,0
5/22/09,3050,167550,344250,251350,0,0,0,0,0,0,0
5/23/09,1600,167100,342300,256800,0,0,0,0,0,0,0
5/24/09,5000,163250,341750,262800,0,0,0,0,0,0,0
5/25/09,5450,162700,342400,267700,0,0,0,0,0,0,0
5/26/09,6250,161900,343500,272850,0,0,0,0,0,0,0
5/27/09,5950,163000,343650,277850,0,0,0,0,0,0,0
5/28/09,4750,163400,344050,283000,0,0,0,0,0,0,0
5/29/09,8300,158150,343850,290200,0,0,0,0,0,0,0
5/30/09,5450,160300,344800,295400,0,0,0,0,0,0,0
5/31/09,4800,160100,345700,300150,0,0,0,0,0,0,0
6/1/09,3600,158250,347350,305100,0,0,0,0,0,0,0
6/2/09,5550,156750,347350,310200,0,0,0,0,0,0,0
6/3/09,3550,154750,348950,316150,0,0,0,0,0,0,0
6/4/09,3300,151250,350650,321500,0,0,0,0,0,0,0
6/5/09,1500,148000,352200,326500,0,0,0,0,0,0,0
6/6/09,1400,143400,353500,331300,0,0,0,0,0,0,0
6/7/09,800,139500,352350,337750,0,0,0,0,0,0,0
6/8/09,4100,136550,351300,342550,0,0,0,0,0,0,0
6/9/09,4550,136500,350550,347450,0,0,0,0,0,0,0
6/10/09,4100,134950,351300,352800,0,0,0,0,0,0,0
6/11/09,4450,132550,352250,358350,0,0,0,0,0,0,0
6/12/09,4300,131400,351700,364500,0,0,0,0,0,0,0
6/13/09,3900,128700,353250,369950,0,0,0,0,0,0,0
6/14/09,3600,125750,354150,375900,0,0,0,0,0,0,0
6/15/09,4200,123650,351650,384100,0,0,0,0,0,0,0
6/16/09,3550,121700,352500,389400,0,0,0,0,0,0,0
6/17/09,3950,119500,352150,395500,0,0,0,0,0,0,0
6/18/09,4000,119350,350550,401200,0,0,0,0,0,0,0
6/19/09,4350,117850,349950,407300,0,0,0,0,0,0,0
6/20/09,3900,118300,351900,409250,0,0,0,0,0,0,0
6/21/09,4050,119300,348900,415150,0,0,0,0,0,0,0
6/22/09,6800,118800,344200,421400,0,0,0,0,0,0,0
6/23/09,3800,120850,344000,426350,0,0,0,0,0,0,0
6/24/09,4898.98,119350.01,343801.01,431700,0,0,0,0,0,0,0
6/25/09,4400,117248.99,342851.01,438650,0,0,0,0,0,0,0
6/26/09,4500,115898.99,343851.01,443400,0,0,0,0,0,0,0
6/27/09,4200,115748.99,342051.01,449850,0,0,0,0,0,0,0
6/28/09,2350,111848.99,344651.01,455300,0,0,0,0,0,0,0
6/29/09,4200,109098.99,344451.01,460550,0,0,0,0,0,0,0
6/30/09,4345,108703.99,342201.01,467300,0,0,0,0,0,0,0
7/1/09,3800,109698.98,340101.02,472650,0,0,0,0,0,0,0
7/2/09,4200,107898.98,340301.02,478000,0,0,0,0,0,0,0
7/3/09,4100,108548.98,338551.02,483300,0,0,0,0,0,0,0
7/4/09,4450,109348.98,336651.02,488450,50,0,0,0,0,0,0
7/5/09,3950,112298.98,331401.02,495200,50,0,0,0,0,0,0
7/6/09,4200,114848.98,327701.02,500300,50,0,0,0,0,0,0
7/7/09,3450,118248.98,323751.02,505050,50,0,0,0,0,0,0
7/8/09,3700,117598.98,322901.02,510000,50,0,0,0,0,0,0
7/9/09,4300,116998.98,322651.02,514550,50,0,0,0,0,0,0
7/10/09,4050,117398.98,321451.02,519000,700,0,0,0,0,0,0
7/11/09,4150,117298.98,320001.02,521550,3750,0,0,0,0,0,0
7/12/09,3850,117348.98,317851.02,523150,8400,0,0,0,0,0,0
7/13/09,3900,117448.98,316001.02,524011,13139,0,0,0,0,0,0
7/14/09,3450,117948.98,313601.02,524011,18939,0,0,0,0,0,0
7/15/09,2250,117448.98,312051.02,523800,24650,0,0,0,0,0,0
7/16/09,3550,116148.98,309651.02,523475,30925,0,0,0,0,0,0
7/17/09,2350,115748.98,308001.02,523825,36175,0,0,0,0,0,0
7/18/09,200,114148.98,305701.02,525325,40925,0,0,0,0,0,0
7/19/09,3500,110248.98,303501.02,526575,45975,0,0,0,0,0,0
7/20/09,9549.67,104048.98,295701.02,532000.33,52000,0,0,0,0,0,0
7/21/09,4100,109548.65,293901.02,532250.33,57600,0,0,0,0,0,0
7/22/09,3000,106948.65,295001.02,533000.33,62450,0,0,0,0,0,0
7/23/09,3800,106448.65,295001.02,531800.33,67150,0,0,0,0,0,0
7/24/09,3650,105599.67,294200,532900.33,71500,0,0,0,0,0,0
7/25/09,1600,105099.67,292800,528450.33,81500,0,0,0,0,0,0
7/26/09,1050,102449.67,290800,525600.33,90600,0,0,0,0,0,0
7/27/09,3700,99749.67,289400,525400.33,95950,0,0,0,0,0,0
7/28/09,2050,101274.67,286025,526200.33,100700,0,0,0,0,0,0
7/29/09,1050,99544.67,282705,527900.33,106000,0,0,0,0,0,0
7/30/09,800,96749.67,280350,527600.33,112450,0,0,0,0,0,0
7/31/09,850,93849.67,278400,527800.33,117900,0,0,0,0,0,0
8/1/09,1400,90699.67,275750,528100.33,124250,0,0,0,0,0,0
8/2/09,1150,88449.67,274300,527650.33,129800,0,0,0,0,0,0
8/3/09,600,85499.67,270850,529250.33,135750,0,0,0,0,0,0
8/4/09,4050,82449.67,267450,529300.37,142749.96,0,0,0,0,0,0
8/5/09,4350,82449.67,264950,530200.37,148399.96,0,0,0,0,0,0
