,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt
2011-10-24,127.0,6350.0,7525549.98999999,442317.1787038276,18986480.971977312,17.54639826205017,2.52293599766219,8.79736461970984,16020.643585154905,13637.0
2011-10-25,129.0,6450.0,7531999.98999999,506795.3734038021,21104090.26777268,19.917968488375717,2.8019238310929304,7.491631655016056,18072.4087105494,12817.0
2011-10-26,117.0,5850.0,7537849.98999999,464678.11667958705,20936417.83833389,20.13320269047927,2.7775052390415,8.71522435882985,16248.405648392776,12848.0
2011-10-27,100.0,5000.0,7542849.98999999,437457.5426453272,22971054.401854534,22.412549226022268,3.0454078275862098,8.657604295437746,15227.03913793105,11685.0
2011-10-28,105.0,5250.0,7548099.98999999,486760.96089975047,24000236.399504326,23.66163398602945,3.17963943658679,8.908004173295808,16693.107042080646,11948.0
2011-10-29,113.0,5650.0,7553749.98999999,633685.3553241247,26960761.136865456,26.769470164370155,3.56918896873174,13.049724743743795,20165.91767333433,13153.0
2011-10-30,111.0,5550.0,7559299.98999999,268934.6203253212,24623691.930465646,24.90838086663987,3.25740372296902,10.05663867156244,18078.59066247806,10844.0
2011-10-31,131.0,6550.0,7565849.98999999,359990.2570542504,24703243.280216165,25.38497044468258,3.26509821274109,10.360677967259106,21386.393293454137,12167.0
2011-11-01,150.0,7500.0,7573349.98999999,600932.2427572925,24015151.457530532,24.982485751350538,3.1710077428404397,16.066625981607565,23782.5580713033,12935.0
2011-11-02,154.0,7700.0,7581049.98999999,535867.4773319385,24682386.853074886,25.89252206672349,3.2558005666277,10.487640557084854,25069.66436303329,13426.0
2011-11-03,125.0,6250.0,7587299.98999999,368411.6730425285,24038966.877402425,25.84890359577927,3.16831638515488,9.167196965442157,19801.977407218,13257.0
2011-11-04,147.0,7350.0,7594649.98999999,499880.88798096863,23696205.44248248,25.709510501465783,3.12011817182934,9.661505170113633,22932.86856294565,15306.0
2011-11-05,146.0,7300.0,7601949.98999999,391030.9396667807,22637220.45854707,24.840884696216836,2.9778175978959704,11.169613353961351,21738.068464640583,13380.0
2011-11-06,144.0,7200.0,7609149.98999999,219220.6288105472,22543785.24775386,25.6328861616062,2.9627205768556406,6.5394270408140205,21331.588153360608,11361.0
2011-11-07,132.0,6600.0,7615749.98999999,348624.8507944412,22982488.077009577,26.747875391492773,3.01775768731736,10.642327450426793,19917.200736294577,13062.0
2011-11-08,149.0,7450.0,7623199.98999999,854276.7218064952,23300822.370361462,27.47109457006676,3.05656711104617,12.505812413408895,22771.42497729397,13485.0
2011-11-09,161.0,8050.0,7631249.98999999,1260644.4679402115,22279947.347776797,26.40497674401681,2.9195672238457,9.818041618018404,23502.516151957887,14843.0
2011-11-10,141.0,7050.0,7638299.98999999,387191.4750627681,21820347.50981076,26.131789688236307,2.8567020853302205,9.373115870761165,20139.749701578046,13935.0
2011-11-11,119.0,5950.0,7644249.98999999,424773.4854198644,23451502.02554608,28.40762578760273,3.0678617334891896,6.645835827469757,18253.777314260682,12393.0
2011-11-12,143.0,7150.0,7651399.98999999,334796.4588013067,23149486.62064156,28.28665309650425,3.02552299590883,7.090132486934257,21632.489420748134,11482.0
2011-11-13,144.0,7200.0,7658599.98999999,316205.7515182792,22871438.551030017,28.253533155537934,2.98637330333139,8.642421650924609,21501.887783986007,13104.0
2011-11-14,143.0,7150.0,7665749.98999999,362583.63732224976,17050348.665335942,21.32922603350927,2.22422446434833,6.028087449262216,15903.204920090559,13220.0
2011-11-15,165.0,8250.0,7673999.98999999,347518.8766896069,17821975.68082523,22.773010679855794,2.3223841157217997,7.1848891420514605,19159.66895470485,14691.0
2011-11-16,135.0,6750.0,7680749.98999999,2235501.7534354283,19561187.60833078,24.58655214852534,2.5467809307422598,9.14118015024827,17190.771282510257,13106.0
2011-11-17,139.0,6950.0,7687699.98999999,546575.8317815668,17521005.033846974,22.37526977820683,2.27909583576856,6.945428257244186,15839.716058591492,12268.0
2011-11-18,133.0,6650.0,7694349.98999999,397946.00087346544,16197114.580782732,20.858578897593397,2.1050660032144903,6.7768740966493395,13998.688921376357,12265.0
2011-11-19,123.0,6150.0,7700499.98999999,358632.9015991719,16967718.464187235,22.04718143845557,2.20345672180012,6.927166492693396,13551.258839070737,10174.0
2011-11-20,143.0,7150.0,7707649.98999999,449824.48528371676,16972164.421983648,22.255374805521555,2.20198950964348,9.016432892752283,15744.224993950882,11013.0
2011-11-21,118.0,5900.0,7713549.98999999,445244.3561794035,17585961.91347506,23.270423458879748,2.27987916540035,5.886972728253234,13451.287075862063,10444.0
2011-11-22,140.0,7000.0,7720549.98999999,1711815.7910581247,17930657.691224217,23.60231782118119,2.3224585961426096,6.848902275050958,16257.21017299827,11489.0
2011-11-23,134.0,6700.0,7727249.98999999,2751369.6082311845,18006992.76369496,23.300310983267234,2.33032356750438,8.225551194114788,15613.167902279345,11364.0
2011-11-24,113.0,5650.0,7732899.98999999,459406.4076858261,18859607.396970972,24.610204232004318,2.43887900029223,9.601653978290473,13779.666351651102,10972.0
2011-11-25,135.0,6750.0,7739649.98999999,400454.29492687393,19319412.481305715,27.627189255640765,2.49616100292227,10.963823047987798,16849.086769725323,11514.0
2011-11-26,120.0,6000.0,7745649.98999999,540697.6006194471,19145697.40535241,27.416418666321764,2.47179996902396,6.749883733239978,14830.79981414376,10255.0
2011-11-27,114.0,5700.0,7751349.98999999,266413.6416327723,19204473.059693955,27.771257263526007,2.47756495119813,6.327553965758417,14122.12022182934,10815.0
2011-11-28,127.0,6350.0,7757699.98999999,3531357.744345782,19714179.479015127,27.261393963401822,2.5412402521917,7.815722461198475,16136.875601417294,12645.0
2011-11-29,138.0,6900.0,7764599.98999999,686745.2155343671,21412425.611650556,29.691522326856,2.75769848275862,13.883263231658724,19028.11953103448,14735.0
2011-11-30,162.0,8100.0,7772699.98999999,6201689.112320442,23054151.093997926,29.579960260070077,2.9660415458796,8.82596173664001,24024.93652162476,15161.0
2011-12-01,182.0,9100.0,7781799.98999999,874129.7125651938,23988094.551411454,30.750553189466228,3.08258945002922,13.991609674851597,28051.563995265904,14223.0
2011-12-02,146.0,7300.0,7789099.98999999,1985774.4182885445,24149343.782045193,30.380025514020186,3.10040233313852,14.072583230564156,22632.937031911202,12915.0
2011-12-03,152.0,7600.0,7796699.98999999,1640015.623548985,21860825.491669822,27.24172673303864,2.8038561852717696,13.033220811161037,21309.30700806545,13099.0
2011-12-04,136.0,6800.0,7803499.98999999,2858191.8655906357,22003481.913810957,26.694746501746355,2.81969397603741,8.038535850362154,19173.919037054387,11618.0
2011-12-05,158.0,7900.0,7811399.98999999,1686052.571746979,22456183.221592702,26.947140811662045,2.87479622735242,9.07768683866581,22710.89019608412,13358.0
2011-12-06,171.0,8550.0,7819949.98999999,3157220.4392336137,23658167.432378404,27.63971515917767,3.02536045149036,12.441463458770247,25866.83186024258,15120.0
2011-12-07,138.0,6900.0,7826849.98999999,4436402.386201158,23367079.594721854,26.021394618402216,2.98550242109877,11.597758804264185,20599.966705581515,13108.0
2011-12-08,164.0,8200.0,7835049.98999999,6001812.589314853,23441533.14880872,24.55161881147074,2.99188048305085,8.356388728582965,24533.419961016967,14099.0
2011-12-09,147.0,7350.0,7842399.98999999,3128984.6042747726,23180502.775393546,23.54700378275637,2.95579195207481,8.808402663702543,21725.070847749852,11646.0
2011-12-10,144.0,7200.0,7849599.98999999,1580292.054392055,24090228.225901246,25.370412854216337,3.0689752670952704,8.843911816299425,22096.621923085942,11990.0
2011-12-11,152.0,7600.0,7857199.98999999,1385739.7170694962,25530155.15345526,26.66451502949507,3.2492688471654,715.7129356931819,24694.443238457043,11902.0
2011-12-12,127.0,6350.0,7863549.98999999,1459692.345532531,25063770.910863206,25.98977226896039,3.1873353565166607,564.9580746005479,20239.57951388079,11460.0
2011-12-13,132.0,6600.0,7870149.98999999,561256.7485374808,25507851.90600524,26.498073006462178,3.24108840853302,13.924719730192395,21391.183496317928,11933.0
2011-12-14,153.0,7650.0,7877799.98999999,448907.14599220315,24855140.43268065,25.88090236703495,3.1550865043834,11.382652087839068,24136.41175853301,12005.0
2011-12-15,112.0,5600.0,7883399.98999999,617808.0660804088,25251622.3390885,26.43265283217093,3.20313854061952,25.27506111317121,17937.57582746931,10405.0
2011-12-16,118.0,5900.0,7889299.98999999,667005.8075563223,25317850.63454451,26.4628698776212,3.2091377773232,8.624826638119087,18933.912886206883,10534.0
2011-12-17,150.0,7500.0,7896799.98999999,412565.6604030608,25210863.298326336,26.41232484740228,3.19254170426651,11.165447414119118,23944.062781998822,9958.0
2011-12-18,144.0,7200.0,7903999.98999999,314817.329863234,25245461.401476543,26.560800983784056,3.1940108088836903,10.258394622415091,22996.877823962568,9955.0
2011-12-19,159.0,7950.0,7911949.98999999,744393.3820329198,27895746.925907142,29.436096617485386,3.52577391934541,14.611419760243606,28029.902658796007,12637.0
2011-12-20,134.0,6700.0,7918649.98999999,1115091.3114315267,31298866.56902593,32.93941887467102,3.95255082729398,23.24726492236612,26482.090542869664,13868.0
2011-12-21,149.0,7450.0,7926099.98999999,680936.9906521528,30824549.365725607,32.434347921016155,3.88899325073057,16.65454266101677,28972.999717942745,11719.0
2011-12-22,148.0,7400.0,7933499.98999999,591154.913765023,30964929.807119716,32.63881555664978,3.9030604205143193,13.595577628839225,28882.647111805967,12176.0
2011-12-23,142.0,7100.0,7940599.98999999,419174.10861246387,31269805.44293883,33.02186187762161,3.9379650759789597,10.006355514564422,27959.552039450617,11732.0
2011-12-24,145.0,7250.0,7947849.98999999,416527.6490940792,31309912.202721044,33.17783333707633,3.93941911864407,8.912697893805825,28560.788610169508,10318.0
2011-12-25,174.0,8700.0,7956549.98999999,440746.2653399625,33686973.46461242,35.75023627439206,4.23386687784921,12.520512770171084,36834.64183728813,11829.0
2011-12-26,177.0,8850.0,7965399.98999999,603040.0186880196,31854606.052501276,33.82316981896528,3.9991219640561098,12.834748198869862,35392.22938189657,12271.0
2011-12-27,145.0,7250.0,7972649.98999999,568019.2430627818,32652135.893851772,34.69895293182694,4.0955185458796,12.72067708135609,29692.5094576271,11605.0
2011-12-28,155.0,7750.0,7980399.98999999,538872.8320133586,33575903.967522316,35.68747229430807,4.207295876095849,15.1194025795272,32606.543039742843,11047.0
2011-12-29,138.0,6900.0,7987299.98999999,704940.1282059927,33333816.19913024,35.37785670711649,4.17335222676797,15.300139272583529,28796.130364698995,11125.0
2011-12-30,142.0,7100.0,7994399.98999999,561631.616982967,34460941.12043631,36.589033164807354,4.31063509000584,14.031702903958692,30605.509139041464,10437.0
2011-12-31,151.0,7550.0,8001949.98999999,601532.3649091788,37723643.501284294,39.98866803881316,4.714306331385151,19.361097363412416,35593.012801957884,10983.0
2012-01-01,153.0,7650.0,8009599.98999999,907713.1227218966,42409572.65629944,44.7994531654555,5.2948427773232005,18.23389179562899,40505.54724652248,11474.0
2012-01-02,151.0,7550.0,8017149.98999999,626104.7139443314,41728286.73880565,44.14166012325695,5.2048778918761,28.873584587538463,39296.82808366456,12094.0
2012-01-03,159.0,7950.0,8025099.98999999,598999.8329101603,39086320.3529375,41.3668891827336,4.870508828755111,26.61733532742497,38720.54518860312,12934.0
2012-01-04,149.0,7450.0,8032549.98999999,1115324.0058987385,44867464.81989901,47.35118376333826,5.585706267095269,79.27864826442213,41613.51168985976,12763.0
2012-01-05,147.0,7350.0,8039899.98999999,2211536.6306960518,55266279.58438086,57.30928959974535,6.874000877264759,40.923559277293016,50523.906447896,15378.0
2012-01-06,171.0,8550.0,8048449.98999999,1338779.2930227534,53790339.744186595,55.24681374615211,6.683316639976621,40.99851326550091,57142.357271800094,14524.0
2012-01-07,184.0,9200.0,8057649.98999999,869934.0825907512,54761626.32083,56.020499153277186,6.79622798071303,31.728771949149362,62525.29742255988,13829.0
2012-01-08,163.0,8150.0,8065799.98999999,1228907.8602268433,57240164.066982135,58.101628125806116,7.09665056633548,25.495406599162724,57837.70211563416,14549.0
2012-01-09,164.0,8200.0,8073999.98999999,1234170.553061081,50773658.514376946,51.20488500762572,6.28853834248977,41.043158324244935,51566.014408416115,15286.0
2012-01-10,141.0,7050.0,8081049.98999999,1131366.9240441585,52756929.23926353,52.92002473098476,6.5284745552308605,31.08326422269433,46025.745614377556,15541.0
2012-01-11,153.0,7650.0,8088699.98999999,1016019.051371206,55724087.32970575,55.64472482843297,6.889127721215661,39.18970820462657,52701.827067299804,16961.0
2012-01-12,155.0,7750.0,8096449.98999999,1261354.0455144467,54841823.765283935,54.32908530961914,6.77356419579194,279.8988158889173,52495.122517387535,14087.0
2012-01-13,140.0,7000.0,8103449.98999999,1128490.2665428417,52302655.51812129,51.431475635157604,6.454368890122731,81.5742548128406,45180.58223085911,14317.0
2012-01-14,150.0,7500.0,8110949.98999999,1085878.9305502716,54844030.69970816,53.54131192589377,6.76172714260666,68.82087366563303,50712.95356954995,14683.0
2012-01-15,139.0,6950.0,8117899.98999999,824822.141739986,57206212.56436192,55.68240977519761,7.0469225581531205,162.2792139527142,48976.11177916418,13421.0
2012-01-16,175.0,8750.0,8126649.98999999,1089670.343531738,54575392.97636891,52.713239001354104,6.715607666569261,195.24474058288106,58761.56708248104,14860.0
2012-01-17,157.0,7850.0,8134499.98999999,1222626.1188060183,45550124.69889356,43.59914735818448,5.59962195032145,43.70469380226129,43957.03231002337,14887.0
2012-01-18,128.0,6400.0,8140899.97299999,968599.737331336,48033192.73427681,45.64694589009658,5.9002312881356005,63.05755028302234,37761.48024406784,14263.0
2012-01-19,150.0,7500.0,8148399.87710466,1325292.9171005185,51462900.77782921,48.48574736348888,6.31570634161309,173.95357416607004,47367.797562098174,15211.0
2012-01-20,145.0,7250.0,8155649.47198481,969465.8977518303,53023889.70158151,49.83937223525466,6.50149198831093,160.32696420116588,47135.81691525424,14105.0
2012-01-21,164.0,8200.0,8163849.04744397,692002.2608622176,50457226.837127164,47.359869103524545,6.18056832554062,30.13536838157111,50680.66026943309,13487.0
2012-01-22,136.0,6800.0,8170648.84204106,636255.3575529538,51499331.87281448,48.24043304584639,6.3029672267679695,19.183073065048305,42860.1771420222,11492.0
2012-01-23,170.0,8500.0,8179148.67363629,693263.4890104184,52141059.21099972,48.74694552728423,6.37487607714787,32.522271727463284,54186.446655756896,13508.0
2012-01-24,139.0,6950.0,8186097.56325165,954058.7283625699,51363476.58877741,47.77709960973001,6.27447647574518,67.79921439597419,43607.611506429,15215.0
2012-01-25,148.0,7400.0,8193497.34414703,1209693.966670674,47608030.13956039,43.933227650373105,5.8104650724722395,58.80395152660133,42997.44153629457,16707.0
2012-01-26,138.0,6900.0,8200396.51861203,993143.3617970773,44013389.2315659,40.40625624669365,5.36722695441262,28.84233931784865,37033.86598544708,13823.0
2012-01-27,141.0,7050.0,8207445.1514304,930019.6516027217,43525207.67456645,39.83766421194277,5.30313719696084,121.25855610838613,37387.11723857392,14379.0
2012-01-28,145.0,7250.0,8214692.90088381,744703.8502663027,46493492.38791757,42.34956332488199,5.65979677498539,51.673772441196675,41033.52661864408,13257.0
2012-01-29,167.0,8350.0,8223041.75104146,644451.2334946555,44333949.525459595,40.266572644498346,5.3914294573348895,1190.4992047866774,45018.43596874633,14267.0
2012-01-30,172.0,8600.0,8231641.41143302,592330.4360216331,45302689.833119966,41.15000888978211,5.50348193863238,158.05310679052334,47329.944672238475,13370.0
2012-01-31,150.0,7500.0,8239141.34443302,844483.4123388414,45630179.813155845,41.31878217129734,5.53822029573349,45.85208148880667,41536.652218001174,15858.0
2012-02-01,141.0,7050.0,8246191.10632214,1175094.17071979,50097529.46582305,44.99880972067086,6.0752326522501505,23.2397191756964,42830.39019836356,15161.0
2012-02-02,159.0,7950.0,8254140.94315441,993608.0192159169,50346734.51625903,45.00090842255167,6.099572912916419,69.57834387553166,48491.60465768554,15694.0
2012-02-03,158.0,7900.0,8262040.7846608,968263.4599299249,49172452.21766726,43.70078869040687,5.95161092752776,43.441907065466786,47017.726327469296,17088.0
2012-02-04,157.0,7850.0,8269890.75849937,1058707.9528806123,48754423.463084124,42.973042261189306,5.8954132390415,49.79526315979781,46278.99392647577,16038.0
