,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt,Volume,Type,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility,PU_future90d,NVTAdj90_future90d,PM_future90d,PriceChange30d,PriceChange60d,PriceChange90d,PriceChange180d,future30d_ROI,future60d_ROI,future90d_ROI,future180d_ROI
2009-02-13,124.0,6200.0,209300.0,,,,,,,124.0,,,1065.818601688167,,,,,,15376.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-14,136.0,6800.0,216100.0,,,,,,,136.0,,,1035.0956347370045,,,,,,18496.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-15,128.0,6400.0,222500.0,,,,,,,142.0,,,1010.7902621722847,,,,,,20164.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-16,122.0,6100.0,228600.0,,,,,,,153.0,,,987.2776319626712,,,,,,23409.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-17,117.0,5850.0,234450.0,,,,,,,117.0,,,965.2377905736834,,,,,,13689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-18,118.0,5900.0,240350.0,,,,,,,118.0,,,942.3028916163928,,,,,,13924.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-19,124.0,6200.0,246550.0,,,,,,,141.0,,,921.0741566957344,,,,,,19881.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-20,122.0,6100.0,252650.0,,,,,,,122.0,,,903.6512962596477,,,,,,14884.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-21,114.0,5700.0,258350.0,,,,,,,114.0,,,889.1297335655763,,,,,,12996.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-22,121.0,6050.0,264400.0,,,,,,,133.0,,,877.2976550680787,,,,,,17689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-23,108.0,5400.0,269800.0,,,,,,,108.0,,,838.7694588584137,,,,,,11664.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-24,106.0,5300.0,275100.0,,,,,,,106.0,,,803.8137646916272,,,,,,11236.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-25,105.0,5250.0,280350.0,,,,,,,105.0,,,790.7139884667973,,,,,,11025.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-26,107.0,5350.0,285700.0,,,,,,,107.0,,,778.036401820091,,,,,,11449.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-27,115.0,5750.0,291450.0,,,,,,,152.0,,,763.3127466117688,,,,,,23104.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-02-28,99.0,4950.0,296400.0,,,,,,,107.0,,,746.0498200629779,,,,,,11449.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-01,105.0,5250.0,301650.0,,,,,,,105.0,,,730.6453395215204,,,,,,11025.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-02,108.0,5400.0,307050.0,,,,,,,108.0,,,711.8520327851054,,,,,,11664.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-03,105.0,5250.0,312300.0,,,,,,,114.0,,,698.3269292347103,,,,,,12996.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-04,104.0,5200.0,317500.0,,,,,,,130.0,,,682.2913385826772,,,,,,16900.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-05,112.0,5600.0,323100.0,,,,,,,121.0,,,665.3822346022903,,,,,,14641.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-06,117.0,5850.0,328950.0,,,,,,,117.0,,,653.1793078988702,,,,,,13689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-07,109.0,5450.0,334400.0,,,,,,,109.0,,,639.4412878787879,,,,,,11881.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-08,115.0,5750.0,340150.0,,,,,,,142.0,,,627.3800774168259,,,,,,20164.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-09,108.0,5400.0,345550.0,,,,,,,108.0,,,613.8788404958281,,,,,,11664.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-10,107.0,5350.0,350900.0,,,,,,,107.0,,,600.1852379595326,,,,,,11449.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-11,114.0,5700.0,356600.0,,,,,,,114.0,,,587.1798467003179,,,,,,12996.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-12,118.0,5900.0,362500.0,,,,,,,122.0,,,577.2873563218392,,,,,,14884.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-13,113.0,5650.0,368150.0,,,,,,,127.0,,,565.1229118565802,,,,,,16129.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-14,110.0,5500.0,373650.0,,,,,,,110.0,,,555.3392211963067,,,,,,12100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-15,123.0,6150.0,379800.0,,,,,,,123.0,,,546.1865894330349,,,,,,15129.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-16,121.0,6050.0,385850.0,,,,,,,170.0,,,535.2576562567491,,,,,,28900.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-17,114.0,5700.0,391550.0,,,,,,,114.0,,,525.2905120674243,,,,,,12996.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-18,114.0,5700.0,397250.0,,,,,,,129.0,,,516.5282148101531,,,,,,16641.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-19,122.0,6100.0,403350.0,,,,,,,122.0,,,509.47068302962685,,,,,,14884.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-20,118.0,5900.0,409250.0,,,,,,,131.0,,,502.12583995113016,,,,,,17161.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-21,50.0,2500.0,411750.0,,,,,,,50.0,,,488.14410038453764,,,,,,2500.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-22,119.0,5950.0,417700.0,,,,,,,131.0,,,480.7537307477456,,,,,,17161.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-23,130.0,6500.0,424200.0,,,,,,,130.0,,,475.6816753103882,,,,,,16900.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-24,105.0,5250.0,429450.0,,,,,,,105.0,,,467.6000310474639,,,,,,11025.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-25,117.0,5850.0,435300.0,,,,,,,117.0,,,462.5737039589556,,,,,,13689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-26,117.0,5850.0,441150.0,,,,,,,146.0,,,457.95647738864335,,,,,,21316.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-27,106.0,5300.0,446450.0,,,,,,,106.0,,,452.6561391719864,,,,,,11236.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-28,119.0,5950.0,452400.0,,,,,,,140.0,,,448.3163866784557,,,,,,19600.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-29,116.0,5800.0,458200.0,,,,,,,116.0,,,442.77426160337546,,,,,,13456.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-30,120.0,6000.0,464200.0,,,,,,,120.0,,,439.8032457274163,,,,,,14400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-03-31,110.0,5500.0,469700.0,,,,,,,143.0,,,435.3009012845079,,,,,,20449.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-01,114.0,5700.0,475400.0,,,,,,,114.0,,,430.8494601037723,,,,,,12996.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-02,115.0,5750.0,481150.0,,,,,,,115.0,,,426.9649104575842,,,,,,13225.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-03,116.0,5800.0,486950.0,,,,,,,116.0,,,423.37851250984016,,,,,,13456.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-04,113.0,5650.0,492600.0,,,,,,,113.0,,,418.6459602111247,,,,,,12769.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-05,130.0,6500.0,499100.0,,,,,,,148.0,,,414.7782675482536,,,,,,21904.0,,100.00000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-06,109.0,5450.0,504550.0,,,,,,,109.0,,,410.2979552736762,,,,,,11881.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-07,100.0,5000.0,509550.0,,,,,,,100.0,,,404.481078075426,,,,,,10000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-08,105.0,5250.0,514800.0,,,,,,,105.0,,,400.0016187516188,,,,,,11025.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-09,99.0,4950.0,519750.0,,,,,,,99.0,,,395.2557319223986,,,,,,9801.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-10,108.0,5400.0,525150.0,,,,,,,108.0,,,390.4963661176172,,,,,,11664.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-11,120.0,6000.0,531150.0,,,,,,,128.0,,,386.3142866108129,,,,,,16384.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-12,118.0,5900.0,537050.0,,,,,,,127.0,,,382.6366260124757,,,,,,16129.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-13,115.0,5750.0,542800.0,,,,,,,117.0,,,379.14363792679933,,,,,,13689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-14,124.0,6200.0,549000.0,,,,,,,124.0,,,374.97267759562834,,,,,,15376.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-15,113.0,5650.0,554650.0,,,,,,,113.0,,,370.2755491451066,,,,,,12769.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-16,123.0,6150.0,560800.0,,,,,,,123.0,,,367.19121493105087,,,,,,15129.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-17,112.0,5600.0,566400.0,,,,,,,112.0,,,363.34598634651604,,,,,,12544.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-18,126.0,6300.0,572700.0,,,,,,,131.0,,,359.77387812118036,,,,,,17161.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-19,119.0,5950.0,578650.0,,,,,,,128.0,,,356.1796134681298,,,,,,16384.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-20,119.0,5950.0,584600.0,,,,,,,236.0,,,359.73457634850035,,,,,,55696.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-21,123.0,6150.0,590750.0,,,,,,,125.0,,,356.40146706164484,,,,,,15625.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-22,121.0,6050.0,596800.0,,,,,,,121.0,,,351.87109025915987,,,,,,14641.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-23,75.0,3750.0,600550.0,,,,,,,75.0,,,346.6350290011933,,,,,,5625.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-24,115.0,5750.0,606300.0,,,,,,,115.0,,,343.146956952004,,,,,,13225.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-25,118.0,5900.0,612200.0,,,,,,,118.0,,,339.9392899923772,,,,,,13924.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-26,112.0,5600.0,617800.0,,,,,,,128.0,,,337.44874285097666,,,,,,16384.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-27,104.0,5200.0,623000.0,,,,,,,104.0,,,333.167469234885,,,,,,10816.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-28,117.0,5850.0,628850.0,,,,,,,117.0,,,330.1648511833771,,,,,,13689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-29,128.0,6400.0,635250.0,,,,,,,149.0,,,327.6046176046176,,,,,,22201.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-04-30,131.0,6550.0,641800.0,,,,,,,131.0,,,326.2516879609432,,,,,,17161.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-05-01,121.0,6050.0,647850.0,,,,,,,121.0,,,323.862262354969,,,,,,14641.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-05-02,126.0,6300.0,654150.0,,,,,,,142.0,,,321.7661596473796,,,,,,20164.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-05-03,106.0,5300.0,659450.0,,,,,,,110.0,,,318.2576389415422,,,,,,12100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-05-04,128.0,6400.0,665850.0,,,,,,,159.0,,,316.56904708267626,,,,,,25281.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-05-05,135.0,6750.0,672600.0,,,,,,,146.0,,,313.8442858558826,,,,,,21316.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-05-06,135.0,6750.0,679350.0,,,,,,,135.0,,,313.054144893403,,,,,,18225.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-05-07,122.0,6100.0,685450.0,,,,,,,122.0,,,312.22068227684974,,,,,,14884.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
