,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt,Volume,Type,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility
2010-12-30,169.0,8450.0,5012500.0,10099.542,1503750.0,142.60920948476303,0.3,0.02418117,2535.0,1049.0,,,66.09443059019118,10099.542,0.7012169856441453,2535.02418117,220976.39114962157,1.6251770078963006,1100401.0,27.262788747011317,72.58327349944041,27.416726500559598,0.0,0.0,0.0,27.416726500559598,0.0,0.0,0.0,0.2908728336303343,1.0313785452417508,0.07438214799971951,0.11295763545841561,0.10426628304009986,0.10426628304009986,0.13334797504918736,2.249752948174433
2010-12-31,162.0,8100.0,5020600.0,8775.435,1506180.0,144.34148211382436,0.3,0.007005183000000001,2430.0,876.0,,,65.67276155572375,8775.435,0.6928015324183955,2430.007005183,223406.39815480457,1.698151708675607,767376.0,39.09426408957278,72.54151840308995,27.458481596910044,0.0,0.0,0.0,27.458481596910044,0.0,0.0,0.0,0.28966770511211437,1.035669474731008,0.07295504044454365,0.11297015707629374,0.10423899591324877,0.10423899591324877,0.13283025745955912,2.2585215577959454
2011-01-01,181.0,9050.0,5029650.0,6125.973000000001,1508895.0,143.90243928427705,0.3,0.026745774,2715.0,1071.0,,,65.46992998187415,6125.973000000001,0.6949152529822757,2715.026745774,226121.42490057857,1.5226217975731504,1147041.0,26.154252550693478,72.51264031240267,27.487359687597333,0.0,0.0,0.0,27.487359687597333,0.0,0.0,0.0,0.2917581478460398,1.028248918547116,0.07000798276521968,0.11296176839501641,0.10422396070110607,0.10422396070110607,0.13380815277743216,2.242015854586982
2011-01-02,175.0,8750.0,5038400.0,9194.5064574,1511368.8480000002,143.62370871386057,0.29997,0.0263005656804,2624.7375,1097.0,,,65.18719567058326,9194.5064574,0.6962638752020287,2624.7638005656804,228746.18870114424,1.577565405683596,1203409.0,24.926687435443814,72.49090954249665,27.509090457503348,0.0,0.0,0.0,27.509090457503348,0.0,0.0,0.0,0.29382435811497537,1.0209160395157566,0.06988753167776739,0.1129538361107393,0.10423270063062094,0.10423270063062094,0.13474447322021801,2.226213757277804
2011-01-03,156.0,7800.0,5046200.0,9144.7817,1488629.0,141.15898690817346,0.295,0.2148349359,2301.0,1405.0,,,64.2063995349636,9144.7817,0.7084210661348243,2301.2148349359,231047.40353608015,1.7722967688724989,1974025.0,14.944086321095224,72.48159676665043,27.518403233349574,0.0,0.0,0.0,27.518403233349574,0.0,0.0,0.0,0.30362419786958633,0.9715958150565764,0.06003713052679745,0.11067091089446562,0.10429209507328344,0.10429209507328344,0.1391592705957044,2.1198731405905065
2011-01-04,141.0,7050.0,5053250.0,4521.481233,1510669.0875,143.32068265748399,0.29895,0.011263634814,2107.5975,1111.0,,,62.93705371130791,4521.481233,0.6977360011533416,2107.608763634814,233155.01229971496,1.9637512849729988,1234321.0,24.21979371654537,72.42174902139436,27.57726031912767,0.0009906594779618416,0.0,0.0,27.57825097860563,0.0009906594779618416,0.0,0.0,0.3057394241058705,0.9777934294024199,0.05985981824840624,0.10954033922980287,0.10429661138712229,0.10429661138712229,0.1401226686696603,2.133487770667398
2011-01-05,154.0,7700.0,5060950.0,7700.550253136806,1512800.4594291928,143.41047657032288,0.29891630216247805,0.02585319026663113,2301.655526651081,1497.0,,,61.7955456320783,7700.550253136806,0.6972991261971291,2301.6813798413477,235456.6936795563,1.80070918123445,2241009.0,13.338469509157617,72.33806257775679,27.660948021522948,0.0009894007202637667,0.0,0.0,27.661937422243213,0.0009894007202637667,0.0,0.0,0.312136491330486,0.9576461274628394,0.0598993797328473,0.08354430581007118,0.10421619088735651,0.10421619088735651,0.14316488335447336,2.087916360203831
2011-01-06,141.0,7050.0,5068000.0,5360.099179999998,1510264.0,144.0178881335753,0.298,0.027739630980000003,2100.9,1166.0,,,60.53324782951855,5360.099179999998,0.6943581890830869,2100.92773963098,237557.6214191873,1.969467826517379,1359556.0,21.918920588780452,72.25983967142568,27.739172440801564,0.0009878877727631519,0.0,0.0,27.740160328574326,0.0009878877727631519,0.0,0.0,0.31819881108759196,0.9365214124510611,0.05471799291219987,0.08116533475607525,0.1010884969619741,0.1010884969619741,0.1504610085101879,1.9805795730780447
2011-01-07,164.0,8200.0,5076200.0,8528.6752,1624384.0,155.71324974151622,0.32,0.0139280384,2624.0,1269.0,,,59.548645312110104,8528.6752,0.6422061074828238,2624.0139280384,240181.63534722567,1.6960150537823457,1610361.0,19.871320778384472,72.14448412772335,27.854529740708422,0.0009861315682369032,0.0,0.0,27.85551587227666,0.0009861315682369032,0.0,0.0,0.30040956140143826,1.065212433676114,0.05591876636664394,0.07248810749245291,0.10078649236351589,0.10078649236351589,0.14247497042236693,2.246008537860091
2011-01-08,170.0,8500.0,5084700.0,11546.368743416844,1641849.63,157.01941935989746,0.3229,0.005700583157,2744.65,1439.0,,,58.8150071128418,11546.368743416844,0.6368639013420005,2744.655700583157,242926.29104780883,1.6389007056250535,2070721.0,15.593602421572003,72.08821075524196,27.910805578899478,0.0009836658585560265,0.0,0.0,27.911789244758033,0.0009836658585560265,0.0,0.0,0.3022359745319327,1.0683705025520849,0.045287108399811725,0.07093261765625618,0.10077434591954339,0.10077434591954339,0.14335845879449946,2.252395866384617
