,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,Volume,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility
2018-01-14,971840,155,162890551,1050906.78064516,2.52606465,229884291706.0992,91004912381.48352,2227847638503.63,0.00208404267206684,28.51192422034264,0.00103609,14.174815113626117,491.921600399913,6730011.616816912,17165770.554581102,1937.5,4.20867315856661,26507064.330946736,1937.5,26507064.330946736,55.89387346,47.23117561242767,1,13681.0654611338,1568.330742488825,-22.714587151730576,16803098.58608395,20280818.75,14008012.12170279,236042,668808,300625.05146376,4112871008.332416,1.2781946725516298,17487.06498725133,0.02022177,276.65535910999165,854866.82255991,11695488959.993578,0.05501066620270407,0.06561010964997442,0.06413985041330304,11084099584.0,4.2946568037416215,15196970592.332417,6.044689243141707,33237075.947763648,6025136592.852006,18.949319677423716,944472985600,1.4485396268314188,57.67006344709299,7.6834767493944245,4.980519269890927,12.854867163092344,16.81107337052927,42.329936552906965,34.64645980351254,29.665940533621615,16.81107337052927,59.57898939009647,229.6290286422337,0.06561010964997423,0.06413985041330303,0.05890597079351313,0.05501066620270408,53.406612520103494,256.1680064614457
2018-01-15,949563,150,158887592,1059250.61333333,2.50804935,228408095575.09323,91070016465.32016,2227847638503.63,0.00186972039325492,25.41267155783661,0.00094341,12.822542108899125,508.823838099861,6915779.025076197,16612036.020562302,1875.0,4.07245507702985,25484430.368753623,1875.0,25484430.368753623,48.612601700000006,46.65127193318792,1,13591.696196668601,1548.3833089531283,-30.79765490171237,16804973.58608393,20281287.5,14009894.66506953,272139,754313,345691.71364941,4698536749.628537,1.26723633020045,17223.891209465735,0.025419999999999998,345.5009173193157,955892.83794249,12992205049.885695,0.05497749496207479,0.0620833033656965,0.06358809739662476,12750799872.0,4.275172840864222,17449336621.628536,6.149557061329466,32400209.393829823,6057536802.245836,19.313937040002415,901669890969,1.507391600052429,57.67554691765942,7.6725464333294635,4.962429475937324,12.876994085266935,16.81248308780686,42.32445308234058,34.651906649011124,29.689477173073797,16.81248308780686,60.88096294764085,223.25034852615258,0.0620833033656963,0.06358809739662476,0.058786421367708466,0.054977494962074804,54.606629365438266,248.90194385942237
2018-01-16,1001819,159,167070105,1050755.37735849,2.12079726,192121046221.58783,90589067573.52972,2227847638503.63,0.00200538423196264,22.92362758190385,0.00103458,11.826325472039473,613.988490299934,7018527.05675073,17608758.181796104,1987.5,4.31629190003099,22719192.20908818,1987.5,22719192.20908818,34.92009374,38.93594155760751,1,11431.040105201599,1275.8445837493307,-40.61941604450795,16806961.08608391,20281784.375,14012180.92203091,306170,846189,481297.70817297,5501733404.666836,2.44431045429388,27941.010832596883,0.032307999999999996,369.3140437188532,2068348.61900848,23643376015.424282,0.05430371804950886,0.06868432872428548,0.0677561761370338,18853799936.0,4.251140324181463,24355533340.666836,7.426112638208911,29737719.26583891,6087274521.511675,17.700047069471434,1003641308761,1.138956717446522,57.684340899558606,7.663147143101856,4.958634495480285,12.877386711707139,16.816490750152113,42.315659100441394,34.65251195733954,29.693877461859252,16.816490750152113,73.91919035286922,154.6423878648164,0.0686843287242853,0.06775617613703382,0.061863182193814294,0.05430371804950887,67.12378539814998,170.29790613561931
2018-01-17,1090483,167,177245355,1061349.43113772,2.07376393,187582403000.9115,90455041771.67743,2227847638503.63,0.0021459839681201103,23.948341125902235,0.00114739,12.804423300757403,674.3582941101249,7525574.612087171,18494733.436226103,2087.5,4.53290081290385,23295682.93285725,2087.5,23295682.93285725,35.49858507,37.73671733334447,1,11159.6085905903,1131.708404688447,-41.209599205928725,16809048.58608389,20282306.25,14013607.60031665,314242,872689,473513.19931845,5284221966.872072,1.76482512685888,19694.757646583977,0.03319715,370.46720032311475,1540143.47513335,17187398355.839733,0.05413612259209171,0.06869183709357131,0.06787005346140243,18830600192.0,4.237040819726295,24114822158.87207,7.726260099113499,30821257.54494442,6118095779.05662,16.67434857367193,1189153173289,0.9384500534716379,57.76475739623387,7.664444960498596,4.936032181190098,12.827636482412984,16.807128979664455,42.23524260376613,34.57079764326754,29.63476546207744,16.807128979664455,77.01612601573578,144.8996355426939,0.06869183709357116,0.06787005346140244,0.061935938916219055,0.054136122592091725,70.15252821307703,159.0763565454802
2018-01-18,1050790,173,181847094,1051139.2716763,2.09352287,189059547788.13376,90306893903.30626,2227847638503.63,0.00211276424936585,23.76023068907235,0.0011300000000000001,12.70802489521041,650.5053230298561,7315608.707548937,19159214.8770486,2162.5,4.69515548855004,24319560.916719045,2162.5,24319560.916719045,39.79011621,37.80071137375681,1,11246.0397302747,1176.1321387993412,-36.295066021502926,16811211.08608388,20282846.875,14015574.8516712,307893,845675,422497.15982712,4751419845.344011,1.57238812093024,17683.139279393457,0.02686267,302.0986540812583,1329729.32416768,14954188810.101059,0.05399777277243896,0.06804158652228245,0.06780843877069759,15020399616.0,4.2663493803472035,19771819461.34401,7.756550479963374,31635169.62426798,6149730948.680887,16.373276007528023,1104159624100,1.0185157548611998,57.79619704310412,7.670725631366649,4.93434561243461,12.791694420708088,16.80703729238655,42.2038029568959,34.53307732552925,29.598731713094637,16.80703729238655,76.7297515739205,146.56687268745299,0.06804158652228229,0.0678084387706976,0.06176981786067856,0.053997772772438966,70.07074737923233,160.4955013453705
2018-01-19,1027992,165,172841278,1047522.8969696999,2.129939,192348146652.90378,90306880392.89633,2227847638503.63,0.00201868206934777,23.09423877107874,0.0010245999999999999,11.72168584847663,489.855409630015,5604071.07442892,18273239.6226186,2062.5,4.47748914656985,23595527.095923334,2062.5,23595527.095923334,38.11658067,38.18742410563016,1,11440.2555616598,1167.9500911610862,-30.469705064901987,16813273.58608387,20283362.5,14017445.03943392,242661,655942,441101.30795175,5046311691.550421,1.57842944946721,18057.63628795487,0.02297097,262.7937672992204,1035358.16994242,11844762061.993681,0.0539381525104243,0.06746013975457349,0.06774480179153528,10740400128.0,4.292057777873518,15786711819.55042,7.691668868890214,29199598.170352254,6178930546.851239,18.047550539296626,1056767552064,1.0825706693317316,57.827635266061975,7.674098190546042,4.912645756785183,12.78838166459636,16.797239122010442,42.172364733938025,34.498266543391985,29.585620786606803,16.797239122010442,75.57583838310427,151.3745107750916,0.06746013975457332,0.06774480179153528,0.06177862050243056,0.05393815251042431,69.09326429926963,165.5770020085841
2018-01-20,970060,178,198811083,1116916.19662921,2.37080852,214707089256.08,90562813405.58598,2227847638503.63,0.00178466054402424,22.787267874098475,0.00097291,12.422508505397886,421.738487139915,5384927.633130744,19712949.4110673,2225.0,4.82962188627637,28409700.20300984,2225.0,28409700.20300984,56.40367826,42.435081523107534,1,12768.4045856224,1326.359257854633,-18.328383996738665,16815498.58608385,20283918.75,14019650.58319468,236313,640700,298127.69492752,3806615027.0135827,1.3791848458864702,17609.99011063772,0.015,191.52606878433602,883643.73075946,11282720663.885576,0.054467402786077326,0.0705795611542422,0.0689695685870822,11801700352.0,4.333093344035601,15608315379.013582,6.951803808898422,33794627.83614059,6212725174.68738,17.406275445723832,941016403600,1.3568737523357663,57.8566461126639,7.665507266569405,4.904510860194867,12.775858022754194,16.797477737817633,42.143353887336104,34.4778466207667,29.57333576057183,16.797477737817633,67.61274332504436,188.84612511932895,0.07057956115424203,0.06896956858708221,0.06270308616109935,0.054467402786077354,61.21258147480945,208.5911797540662
2018-01-21,988506,187,200286411,1071050.32620321,2.12617327,192099954357.02213,90350093848.36472,2227847638503.63,0.00158295603361306,18.08114791045335,0.00084638,9.667686052858699,344.253363409941,3932197.6418251665,20709671.572301,2337.5,5.073111044922019,26699846.5802089,2337.5,26699846.5802089,62.34155807,38.00829878359385,1,11422.3942589129,1135.5637028710119,-20.15504580393121,16817836.08608383,20284503.125,14020904.52056159,217475,594214,269769.26155776,3081410864.4485307,1.20391534972049,13751.595778864437,0.01418872,162.06915386932263,715383.35561881,8171390734.142142,0.05485406588215167,0.07159954223933226,0.07063764438430747,9935179776.0,4.361428622042585,13016590640.44853,7.810630412044639,30632044.222034067,6243357218.909414,17.181394783805622,977144112036,1.1689569755594122,57.848518310274166,7.665989427461584,4.892949938174507,12.786983741880476,16.80555858220927,42.15148168972584,34.48549226226425,29.592542324089745,16.80555858220927,75.4866520420842,151.31674209825673,0.07159954223933213,0.07063764438430747,0.06390517496349109,0.05485406588215168,67.85942024740005,168.32437143243254
2018-01-22,946599,167,180040695,1078087.99401198,2.00268788,180601416229.53217,90179512463.67683,2227847638503.63,0.00125965079973449,13.525312241902007,0.00063505,6.818754484203336,315.01725095,3382450.661391576,18494733.436226103,2087.5,4.52997004475343,22414219.330406208,2087.5,22414219.330406208,50.64807843,35.671935126934116,1,10737.3505774401,1063.9819827410256,-27.9897206324777,16819923.58608351,20285025.0,14018134.72264993,250083,665480,332094.01243033,3565809836.133204,1.5744230666235501,16905.132423545394,0.019255599999999998,206.7541277789556,1047747.06237664,11250027525.220984,0.05507755407558375,0.07164849293645534,0.07108699065069751,10537400320.0,4.386204528363052,14103210156.133204,8.360725183922977,25796669.991797782,6269153888.901212,19.18070823816328,896049666801,1.1982985960782366,57.86081942094488,7.68970941415863,4.886311083218398,12.733953806001264,16.829206275676857,42.13918057905515,34.44947116489652,29.56316008167812,16.829206275676857,80.3232284356492,133.67678050991574,0.07164849293645519,0.07108699065069753,0.06386612020087491,0.05507755407558377,71.91430950276198,149.3075669040209
2018-01-23,893416,177,189313107,1069565.57627119,2.02766184,182509946645.00702,90010051474.37943,2227847638503.63,0.0010892382385881,11.81757250037199,0.00047626,5.167131376440323,289.826688999801,3144443.326041833,19602202.504263602,2212.5,4.80059426381692,24004279.53297404,2212.5,24004279.53297404,49.74835676,35.94236591630046,1,10849.3918793103,1080.4162803917893,-22.649910323510586,16822136.08608349,20285578.125,14019959.00822226,266082,641354,338144.5575536,3668662816.7550015,1.68393422738944,18269.66233193165,0.0184484,200.15392114626815,1079997.95247313,11717321015.233732,0.05496497348754829,0.07110827088559818,0.0710638911307847,9660609536.0,4.408229308921149,13329272352.755001,8.328356827299093,27148722.85901587,6296302611.760227,18.418076374305617,798192149056,1.3592456267756552,57.87613614164948,7.682972734393134,4.906665043002634,12.704427885279056,16.829798195675693,42.12386385835052,34.440891123957385,29.53422608095475,16.829798195675693,79.58355715455507,136.32705381892222,0.07110827088559803,0.0710638911307847,0.06377936313671348,0.05496497348754831,71.39801352419288,151.95649491892425
2018-01-24,940167,176,189192216,1074955.77272727,2.09753554,188868250111.49985,90042931935.20415,2227847638503.63,0.00110330844965584,12.385626104562608,0.00052725,5.9188537581377805,277.62329856993097,3116570.3254381097,19491455.5974598,2200.0,4.77284806896014,24696971.58445352,2200.0,24696971.58445352,48.33785231,37.063646032736614,1,11225.896174751599,1164.5431982010882,-20.275959041633147,16824336.08608348,20286128.125,14022178.97577656,251628,655761,348057.17018447,3907253655.368709,1.67067481381587,18754.822001669414,0.01992536,223.6800226045485,1095563.38658271,12298680830.636753,0.054921385413552376,0.0715038011719874,0.07077085662346712,9940989952.0,4.4447147642191345,13848243607.36871,8.104750026910324,27813541.909891628,6324116153.670119,18.60414837692521,883913987889,1.2700213288355973,57.84650128306092,7.675896401997273,4.920940471825153,12.709702780130772,16.84695906298589,42.15349871693908,34.47760231494181,29.55666184311666,16.84695906298589,76.86512813168062,146.0466722376379,0.07150380117198724,0.07077085662346713,0.06380425628259011,0.05492138541355238,69.01391683135088,162.66133977273438
2018-01-25,854029,158,174676495,1105547.43670886,2.08000559,187284665737.6832,90040462787.58348,2472459380001.35,0.000941404624652456,10.47827117601366,0.00049958,5.560557678421693,224.486405389939,2498638.0663603633,19419246.343651503,1975.0,4.28421295857431,21982668.27111342,1975.0,21982668.27111342,51.89340117,36.616387438050545,1,11130.4649473992,1142.6692867113045,-29.227684947131,16826311.08608316,20286621.875,14024069.70037072,238459,622944,324247.60576721,3609026610.2700443,1.3859008047855,15425.720328237348,0.01769298,196.93109370503504,863338.5909363001,9609359924.153502,0.054855279110033295,0.06793682901969406,0.07037897467615746,8873169920.0,4.45865454106478,12482196530.270044,8.225918740361706,24481306.337473784,6348597460.007593,20.959203164273383,729365532841,1.5260475641129063,57.901049375427775,7.667578519971341,4.882176024045204,12.719415148098356,16.82978093245733,42.098950624572225,34.43137210460089,29.549196080555685,16.82978093245733,77.66974178033755,143.30503349525657,0.06793682901969389,0.07037897467615746,0.06375092942838656,0.054855279110033295,69.82038460607941,159.415692282366
